Model,Global_GDT
T1239v1TS351_2.lga,21.271
T1239v2TS456_2.lga,50.381
T1239v2TS456_3.lga,60.212
T1239v1TS314_3.lga,46.483
T1239v1TS351_3.lga,10.508
T1239v2TS120_1.lga,29.576
T1239v2TS198_1.lga,41.314
T1239v2TS284_4.lga,46.653
T1239v2TS264_1.lga,44.407
T1239v1TS015_3.lga,41.186
T1239v1TS481_3.lga,55.424
T1239v2TS221_1.lga,71.102
T1239v2TS122_3.lga,46.653
T1239v2TS167_3.lga,41.61
T1239v1TS375_2.lga,40.466
T1239v1TS388_2.lga,37.331
T1239v1TS052_1.lga,52.203
T1239v1TS017_1.lga,47.669
T1239v1TS465_2.lga,45.975
T1239v2TS301_1.lga,44.788
T1239v2TS489_4.lga,54.11
T1239v1TS293_4.lga,44.195
T1239v2TS450_5.lga,40.297
T1239v1TS028_3.lga,68.136
T1239v2TS145_4.lga,39.195
T1239v1TS312_5.lga,38.305
T1239v2TS325_2.lga,55.212
T1239v2TS262_5.lga,53.263
T1239v1TS028_1.lga,52.373
T1239v2TS163_5.lga,39.237
T1239v1TS419_4.lga,53.22
T1239v2TS139_2.lga,35.254
T1239v2TS301_3.lga,41.737
T1239v1TS212_2.lga,46.441
T1239v2TS147_4.lga,49.322
T1239v1TS017_3.lga,42.246
T1239v1TS052_3.lga,55.763
T1239v1TS196_2.lga,38.941
T1239v2TS286_4.lga,52.797
T1239v2TS167_1.lga,39.492
T1239v2TS122_1.lga,41.737
T1239v2TS019_2.lga,51.907
T1239v1TS481_1.lga,52.585
T1239v2TS221_3.lga,48.983
T1239v1TS015_1.lga,38.898
T1239v2TS264_3.lga,44.619
T1239v1TS033_2.lga,52.458
T1239v2TS198_3.lga,34.195
T1239v2TS120_3.lga,30.847
T1239v1TS351_1.lga,24.449
T1239v1TS314_1.lga,46.229
T1239v2TS022_4.lga,57.203
T1239v2TS456_1.lga,51.525
T1239v2TS022_5.lga,45
T1239v2TS120_2.lga,31.398
T1239v2TS198_2.lga,34.788
T1239v1TS033_3.lga,50.169
T1239v2TS221_2.lga,55.89
T1239v2TS019_3.lga,49.322
T1239v2TS264_2.lga,47.542
T1239v1TS375_1.lga,43.856
T1239v1TS196_3.lga,37.924
T1239v2TS286_5.lga,51.568
T1239v1TS388_1.lga,33.602
T1239v1TS017_2.lga,42.542
T1239v1TS052_2.lga,53.686
T1239v2TS147_5.lga,40.72
T1239v1TS212_3.lga,46.441
T1239v1TS465_1.lga,45.975
T1239v2TS301_2.lga,44.28
T1239v2TS139_3.lga,35.763
T1239v1TS419_5.lga,49.195
T1239v2TS163_4.lga,36.695
T1239v2TS262_4.lga,55
T1239v1TS293_3.lga,48.898
T1239v2TS450_2.lga,40.72
T1239v1TS419_1.lga,48.517
T1239v2TS145_3.lga,36.61
T1239v1TS028_4.lga,70.805
T1239v1TS312_2.lga,44.873
T1239v1TS465_5.lga,44.534
T1239v2TS489_3.lga,53.008
T1239v2TS147_1.lga,50.932
T1239v1TS388_5.lga,37.161
T1239v2TS286_1.lga,69.873
T1239v2TS122_4.lga,45.212
T1239v2TS167_4.lga,40.89
T1239v1TS375_5.lga,41.356
T1239v2TS284_3.lga,41.737
T1239v1TS015_4.lga,45
T1239v2TS264_6.lga,44.873
T1239v1TS481_4.lga,56.229
T1239v2TS456_4.lga,55.339
T1239v1TS314_4.lga,46.398
T1239v1TS351_4.lga,10.127
T1239v2TS022_1.lga,55.339
T1239v1TS314_5.lga,54.915
T1239v1TS351_5.lga,21.398
T1239v2TS456_5.lga,44.025
T1239v1TS015_5.lga,42.669
T1239v1TS481_5.lga,53.941
T1239v2TS284_2.lga,44.28
T1239v1TS375_4.lga,46.907
T1239v2TS122_5.lga,44.788
T1239v2TS167_5.lga,40.297
T1239v1TS388_4.lga,37.669
T1239v2TS139_6.lga,42.797
T1239v2TS489_2.lga,52.119
T1239v1TS465_4.lga,48.136
T1239v1TS312_3.lga,43.008
T1239v2TS163_1.lga,42.203
T1239v1TS028_5.lga,56.186
T1239v2TS145_2.lga,36.483
T1239v2TS450_3.lga,41.61
T1239v1TS293_2.lga,49.915
T1239v2TS262_1.lga,53.263
T1239v2TS262_3.lga,53.263
T1239v2TS450_1.lga,39.492
T1239v1TS419_2.lga,61.271
T1239v2TS163_3.lga,42.246
T1239v1TS312_1.lga,38.814
T1239v2TS139_4.lga,33.517
T1239v2TS301_5.lga,45.212
T1239v1TS212_4.lga,46.737
T1239v2TS147_2.lga,40.085
T1239v1TS196_4.lga,36.822
T1239v2TS286_2.lga,54.11
T1239v1TS017_5.lga,48.051
T1239v1TS052_5.lga,55.932
T1239v2TS198_5.lga,34.449
T1239v1TS033_4.lga,47.331
T1239v2TS019_4.lga,39.619
T1239v2TS221_5.lga,50.466
T1239v2TS264_5.lga,45.042
T1239v1TS397_1.lga,45
T1239v2TS022_2.lga,51.186
T1239v2TS120_5.lga,25.89
T1239v2TS120_4.lga,27.288
T1239v2TS022_3.lga,50.381
T1239v2TS221_4.lga,40.847
T1239v2TS019_5.lga,39.407
T1239v2TS264_4.lga,45.932
T1239v1TS015_6.lga,40.424
T1239v1TS033_5.lga,45.805
T1239v2TS198_4.lga,38.305
T1239v2TS284_1.lga,44.788
T1239v1TS017_4.lga,45.085
T1239v1TS052_4.lga,51.525
T1239v1TS196_5.lga,38.517
T1239v2TS286_3.lga,38.305
T1239v2TS147_3.lga,39.873
T1239v1TS212_5.lga,46.695
T1239v2TS489_1.lga,52.161
T1239v2TS301_4.lga,46.653
T1239v2TS139_5.lga,35.551
T1239v2TS145_1.lga,42.712
T1239v2TS163_2.lga,42.373
T1239v1TS293_1.lga,48.814
T1239v1TS419_3.lga,52.246
T1239v2TS262_2.lga,55
T1239v2TS465_4.lga,42.373
T1239v1TS139_6.lga,45.932
T1239v1TS489_2.lga,52.161
T1239v1TS450_3.lga,50.424
T1239v2TS293_2.lga,49.915
T1239v1TS163_1.lga,47.5
T1239v2TS312_3.lga,33.941
T1239v1TS145_2.lga,47.669
T1239v2TS028_5.lga,54.576
T1239v1TS262_1.lga,56.992
T1239v1TS456_5.lga,47.373
T1239v2TS314_5.lga,58.771
T1239v2TS351_5.lga,21.398
T1239v2TS015_5.lga,36.568
T1239v2TS481_5.lga,56.568
T1239v2TS375_4.lga,46.737
T1239v1TS122_5.lga,44.788
T1239v1TS167_5.lga,54.068
T1239v2TS388_4.lga,37.669
T1239v2TS388_5.lga,37.5
T1239v1TS286_1.lga,47.076
T1239v1TS122_4.lga,45.212
T1239v1TS167_4.lga,53.008
T1239v2TS375_5.lga,44.831
T1239v1TS264_6.lga,38.305
T1239v2TS015_4.lga,41.017
T1239v2TS481_4.lga,41.356
T1239v2TS314_4.lga,50.381
T1239v2TS351_4.lga,10.127
T1239v1TS022_1.lga,51.186
T1239v1TS456_4.lga,51.525
T1239v2TS028_4.lga,63.475
T1239v1TS145_3.lga,42.542
T1239v2TS312_2.lga,36.483
T1239v2TS293_3.lga,48.898
T1239v2TS419_1.lga,71.102
T1239v1TS450_2.lga,52.5
T1239v1TS489_3.lga,54.958
T1239v2TS465_5.lga,38.39
T1239v1TS147_1.lga,51.907
T1239v2TS212_5.lga,54.958
T1239v1TS147_3.lga,56.271
T1239v1TS489_1.lga,53.008
T1239v1TS139_5.lga,35.381
T1239v1TS301_4.lga,45.89
T1239v2TS293_1.lga,48.814
T1239v2TS419_3.lga,48.983
T1239v1TS145_1.lga,46.271
T1239v1TS163_2.lga,48.347
T1239v1TS262_2.lga,57.627
T1239v1TS120_4.lga,30.847
T1239v1TS022_3.lga,50.381
T1239v1TS198_4.lga,44.195
T1239v1TS019_5.lga,54.025
T1239v1TS221_4.lga,53.22
T1239v2TS015_6.lga,41.737
T1239v1TS264_4.lga,39.788
T1239v2TS033_5.lga,49.873
T1239v2TS196_5.lga,38.517
T1239v1TS286_3.lga,51.864
T1239v2TS017_4.lga,36.61
T1239v2TS052_4.lga,52.203
T1239v2TS017_5.lga,39.237
T1239v2TS052_5.lga,37.288
T1239v2TS196_4.lga,36.822
T1239v1TS286_2.lga,49.195
T1239v2TS033_4.lga,49.025
T1239v1TS221_5.lga,49.195
T1239v1TS019_4.lga,39.407
T1239v1TS264_5.lga,41.144
T1239v1TS198_5.lga,44.492
T1239v1TS022_2.lga,55.339
T1239v1TS120_5.lga,27.161
T1239v2TS397_1.lga,44.407
T1239v1TS262_3.lga,56.992
T1239v2TS312_1.lga,36.525
T1239v1TS163_3.lga,48.39
T1239v2TS419_2.lga,55.89
T1239v1TS450_1.lga,53.729
T1239v1TS301_5.lga,41.356
T1239v1TS139_4.lga,32.797
T1239v1TS147_2.lga,47.669
T1239v2TS212_4.lga,55.042
T1239v1TS301_1.lga,43.517
T1239v1TS489_4.lga,53.22
T1239v2TS465_2.lga,40.89
T1239v1TS145_4.lga,45.212
T1239v2TS028_3.lga,58.305
T1239v2TS312_5.lga,41.949
T1239v2TS293_4.lga,44.195
T1239v1TS450_5.lga,54.068
T1239v2TS314_3.lga,51.737
T1239v1TS120_1.lga,27.712
T1239v2TS351_3.lga,10.508
T1239v1TS456_3.lga,60.212
T1239v2TS015_3.lga,44.788
T1239v1TS264_1.lga,41.398
T1239v2TS481_3.lga,45.932
T1239v1TS221_1.lga,48.517
T1239v1TS198_1.lga,43.432
T1239v1TS122_3.lga,46.653
T1239v1TS167_3.lga,50.424
T1239v2TS375_2.lga,38.263
T1239v2TS052_1.lga,51.525
T1239v2TS017_1.lga,36.483
T1239v2TS388_2.lga,37.627
T1239v2TS196_1.lga,36.992
T1239v2TS388_3.lga,37.585
T1239v2TS375_3.lga,47.161
T1239v1TS122_2.lga,44.28
T1239v1TS167_2.lga,52.5
T1239v2TS033_1.lga,49.873
T1239v2TS015_2.lga,43.178
T1239v2TS481_2.lga,51.61
T1239v1TS019_1.lga,51.907
T1239v1TS456_2.lga,50.381
T1239v2TS314_2.lga,54.364
T1239v2TS351_2.lga,21.271
T1239v1TS325_1.lga,53.136
T1239v1TS450_4.lga,53.008
T1239v2TS293_5.lga,47.585
T1239v2TS312_4.lga,46.271
T1239v2TS028_2.lga,71.356
T1239v1TS145_5.lga,47.5
T1239v2TS465_3.lga,35.805
T1239v1TS139_1.lga,34.153
T1239v1TS489_5.lga,52.797
T1239v2TS212_1.lga,55.212
T1239v2TS212_3.lga,54.873
T1239v1TS147_5.lga,54.025
T1239v1TS139_3.lga,36.186
T1239v1TS301_2.lga,41.059
T1239v2TS465_1.lga,36.102
T1239v1TS163_4.lga,47.712
T1239v2TS419_5.lga,50.466
T1239v1TS262_4.lga,55.424
T1239v1TS022_5.lga,60.72
T1239v1TS120_2.lga,30.127
T1239v2TS033_3.lga,47.585
T1239v1TS019_3.lga,39.619
T1239v1TS221_2.lga,61.271
T1239v1TS264_2.lga,43.517
T1239v1TS198_2.lga,50.339
T1239v2TS375_1.lga,37.373
T1239v2TS017_2.lga,35.466
T1239v2TS052_2.lga,53.686
T1239v2TS196_3.lga,37.924
T1239v1TS286_5.lga,53.602
T1239v2TS388_1.lga,37.797
T1239v2TS196_2.lga,38.941
T1239v1TS286_4.lga,51.949
T1239v2TS017_3.lga,35.424
T1239v2TS052_3.lga,55.763
T1239v1TS167_1.lga,53.729
T1239v1TS122_1.lga,41.737
T1239v1TS198_3.lga,41.653
T1239v2TS481_1.lga,50.042
T1239v1TS221_3.lga,52.246
T1239v1TS019_2.lga,47.669
T1239v1TS264_3.lga,43.008
T1239v2TS015_1.lga,44.153
T1239v2TS033_2.lga,53.941
T1239v1TS456_1.lga,55.339
T1239v2TS351_1.lga,24.449
T1239v1TS120_3.lga,31.483
T1239v2TS314_1.lga,49.195
T1239v1TS022_4.lga,57.203
T1239v1TS325_2.lga,55.212
T1239v1TS262_5.lga,57.627
T1239v2TS419_4.lga,40.847
T1239v2TS028_1.lga,66.186
T1239v1TS163_5.lga,48.178
T1239v1TS301_3.lga,45
T1239v1TS139_2.lga,34.788
T1239v1TS147_4.lga,50.212
T1239v2TS212_2.lga,55.169
T1239v1TS287_3.lga,49.322
T1239v2TS462_1.lga,50.72
T1239v1TS241_5.lga,47.458
T1239v1TS079_4.lga,44.195
T1239v1TS204_5.lga,61.229
T1239v2TS369_2.lga,49.492
T1239v2TS231_2.lga,47.542
T1239v1TS164_4.lga,36.695
T1239v1TS319_5.lga,51.907
T1239v1TS023_3.lga,42.542
T1239v2TS425_3.lga,50.847
T1239v2TS014_6.lga,47.458
T1239v2TS148_2.lga,41.949
T1239v2TS272_4.lga,50.085
T1239v2TS423_5.lga,50.381
T1239v1TS361_5.lga,25.89
T1239v1TS358_1.lga,45.932
T1239v2TS112_5.lga,42.585
T1239v1TS059_1.lga,32.839
T1239v1TS345_4.lga,71.229
T1239v1TS345_5.lga,55.636
T1239v2TS112_4.lga,36.61
T1239v1TS361_4.lga,27.288
T1239v2TS423_4.lga,51.907
T1239v2TS272_5.lga,50.085
T1239v2TS148_3.lga,40.127
T1239v1TS304_1.lga,47.458
T1239v2TS425_2.lga,63.22
T1239v1TS023_2.lga,47.669
T1239v1TS040_1.lga,44.746
T1239v1TS164_5.lga,39.237
T1239v2TS231_3.lga,48.008
T1239v1TS319_4.lga,47.797
T1239v1TS079_5.lga,47.585
T1239v1TS241_4.lga,51.864
T1239v2TS369_3.lga,53.432
T1239v1TS204_4.lga,47.203
T1239v1TS287_2.lga,40.72
T1239v2TS331_4.lga,47.797
T1239v2TS462_2.lga,70.805
T1239v2TS075_4.lga,46.653
T1239v2TS369_1.lga,50.466
T1239v2TS208_5.lga,49.11
T1239v1TS267_5.lga,44.11
T1239v2TS294_4.lga,52.839
T1239v2TS231_1.lga,54.068
T1239v1TS040_3.lga,48.093
T1239v1TS304_3.lga,44.407
T1239v2TS051_5.lga,55.636
T1239v2TS269_4.lga,48.178
T1239v2TS014_5.lga,47.458
T1239v2TS148_1.lga,46.271
T1239v2TS091_5.lga,52.076
T1239v2TS110_4.lga,48.898
T1239v1TS358_2.lga,45.763
T1239v2TS235_5.lga,52.034
T1239v1TS059_2.lga,36.737
T1239v1TS059_3.lga,37.542
T1239v2TS235_4.lga,71.314
T1239v1TS358_3.lga,47.076
T1239v2TS110_5.lga,56.186
T1239v2TS091_4.lga,45.805
T1239v2TS269_5.lga,46.398
T1239v2TS051_4.lga,71.229
T1239v1TS304_2.lga,46.059
T1239v2TS014_4.lga,48.686
T1239v2TS425_1.lga,51.907
T1239v1TS040_2.lga,47.246
T1239v1TS023_1.lga,46.271
T1239v2TS294_5.lga,54.492
T1239v1TS267_4.lga,47.119
T1239v2TS075_5.lga,45.212
T1239v2TS208_4.lga,53.729
T1239v2TS462_3.lga,53.051
T1239v1TS287_1.lga,47.203
T1239v2TS331_5.lga,48.39
T1239v2TS331_1.lga,51.907
T1239v1TS105_3.lga,4.195
T1239v1TS241_3.lga,53.856
T1239v1TS079_2.lga,49.915
T1239v1TS204_3.lga,53.475
T1239v2TS075_1.lga,44.788
T1239v2TS369_4.lga,54.068
T1239v1TS287_5.lga,45.042
T1239v1TS023_5.lga,47.5
T1239v2TS231_4.lga,46.271
T1239v1TS164_2.lga,44.958
T1239v1TS319_3.lga,50.847
T1239v2TS294_1.lga,53.517
T1239v2TS269_1.lga,47.246
T1239v2TS425_5.lga,48.39
T1239v2TS272_2.lga,50.085
T1239v2TS148_4.lga,48.136
T1239v1TS361_3.lga,30.847
T1239v1TS159_2.lga,55.212
T1239v2TS110_1.lga,47.839
T1239v2TS423_3.lga,50.508
T1239v1TS345_2.lga,51.907
T1239v2TS112_3.lga,36.568
T1239v2TS112_2.lga,35.424
T1239v1TS059_6.lga,45.932
T1239v1TS345_3.lga,48.39
T1239v2TS235_1.lga,56.992
T1239v2TS423_2.lga,51.314
T1239v2TS091_1.lga,49.576
T1239v1TS361_2.lga,31.398
T1239v2TS148_5.lga,48.941
T1239v2TS272_3.lga,50.085
T1239v2TS425_4.lga,38.602
T1239v2TS014_1.lga,49.364
T1239v2TS051_1.lga,67.331
T1239v1TS164_3.lga,42.331
T1239v2TS231_5.lga,48.305
T1239v1TS319_2.lga,55.636
T1239v1TS023_4.lga,45.212
T1239v1TS287_4.lga,43.644
T1239v1TS267_1.lga,50
T1239v1TS079_3.lga,48.898
T1239v1TS241_2.lga,50.339
T1239v2TS208_1.lga,50.127
T1239v2TS369_5.lga,53.22
T1239v1TS204_2.lga,50.424
T1239v2TS331_2.lga,55.636
T1239v1TS267_3.lga,46.102
T1239v2TS075_2.lga,44.28
T1239v2TS208_3.lga,51.017
T1239v1TS079_1.lga,48.814
T1239v2TS462_4.lga,51.398
T1239v1TS164_1.lga,44.661
T1239v1TS040_5.lga,30.593
T1239v1TS298_1.lga,61.737
T1239v2TS294_2.lga,55.297
T1239v1TS304_5.lga,44.788
T1239v2TS051_3.lga,48.39
T1239v2TS269_2.lga,46.525
T1239v2TS014_3.lga,49.492
T1239v2TS272_1.lga,50.085
T1239v1TS159_1.lga,53.136
T1239v2TS110_2.lga,54.873
T1239v2TS091_3.lga,41.737
T1239v1TS358_4.lga,47.542
T1239v2TS235_3.lga,55.847
T1239v1TS059_4.lga,36.78
T1239v1TS345_1.lga,67.331
T1239v1TS059_5.lga,36.695
T1239v2TS112_1.lga,39.237
T1239v2TS235_2.lga,55.932
T1239v1TS358_5.lga,46.398
T1239v2TS091_2.lga,51.102
T1239v2TS423_1.lga,50.763
T1239v2TS110_3.lga,50.975
T1239v1TS361_1.lga,29.576
T1239v2TS269_3.lga,46.864
T1239v2TS051_2.lga,51.907
T1239v1TS304_4.lga,47.966
T1239v2TS014_2.lga,47.924
T1239v2TS294_3.lga,54.237
T1239v1TS319_1.lga,49.449
T1239v1TS040_4.lga,37.542
T1239v2TS462_5.lga,55.339
T1239v2TS075_3.lga,41.737
T1239v1TS204_1.lga,55.042
T1239v1TS241_1.lga,54.322
T1239v2TS208_2.lga,50.085
T1239v1TS267_2.lga,48.644
T1239v2TS331_3.lga,50.847
