Model,GDT_TS
R1203v1TS369_2,0.51
R1203v1TS403_1,0.51
R1203v1TS417_3,0.51
R1203v1TS294_3,0.51
R1203v1TS156_1,0.51
R1203v1TS235_5,0.51
R1203v1TS159_2,0.5
R1203v1TS028_2,0.5
R1203v1TS238_4,0.5
R1203v1TS183_2,0.5
R1203v1TS417_4,0.5
R1203v1TS028_2,0.5
R1203v1TS417_1,0.5
R1203v1TS159_2,0.5
R1203v1TS400_1,0.5
R1203v1TS417_1,0.5
R1203v1TS183_2,0.5
R1203v1TS417_4,0.5
R1203v1TS238_4,0.5
R1203v1TS400_1,0.5
R1203v1TS238_3,0.49
R1203v1TS338_5,0.49
R1203v1TS238_3,0.49
R1203v1TS238_1,0.49
R1203v1TS238_1,0.49
R1203v1TS338_5,0.49
R1203v1TS183_4,0.49
R1203v1TS183_4,0.49
R1203v1TS063_4,0.48
R1203v1TS063_4,0.48
R1203v1TS183_1,0.48
R1203v1TS448_3,0.48
R1203v1TS448_4,0.48
R1203v1TS183_1,0.48
R1203v1TS448_3,0.48
R1203v1TS448_4,0.48
R1203v1TS238_2,0.47
R1203v1TS165_2,0.47
R1203v1TS456_3,0.47
R1203v1TS448_2,0.47
R1203v1TS448_1,0.47
R1203v1TS165_2,0.47
R1203v1TS183_3,0.47
R1203v1TS238_2,0.47
R1203v1TS456_3,0.47
R1203v1TS183_3,0.47
R1203v1TS448_1,0.47
R1203v1TS448_2,0.47
R1203v1TS448_5,0.47
R1203v1TS306_1,0.46
R1203v1TS456_1,0.46
R1203v1TS367_1,0.46
R1203v1TS165_1,0.46
R1203v1TS338_2,0.46
R1203v1TS338_1,0.46
R1203v1TS165_1,0.46
R1203v1TS052_3,0.46
R1203v1TS052_5,0.46
R1203v1TS338_3,0.46
R1203v1TS338_1,0.46
R1203v1TS052_5,0.46
R1203v1TS306_1,0.46
R1203v1TS456_1,0.46
R1203v1TS052_3,0.46
R1203v1TS286_3,0.45
R1203v1TS286_4,0.45
R1203v1TS189_5,0.45
R1203v1TS456_2,0.45
R1203v1TS456_2,0.45
R1203v1TS286_5,0.45
R1203v1TS286_3,0.45
R1203v1TS267_5,0.45
R1203v1TS286_4,0.45
R1203v1TS189_5,0.45
R1203v1TS267_4,0.45
R1203v1TS267_4,0.45
R1203v1TS286_5,0.45
R1203v1TS338_4,0.45
R1203v1TS165_4,0.45
R1203v1TS267_5,0.45
R1203v1TS063_5,0.44
R1203v1TS052_1,0.44
R1203v1TS481_4,0.44
R1203v1TS267_3,0.44
R1203v1TS435_1,0.44
R1203v1TS063_3,0.44
R1203v1TS063_2,0.44
R1203v1TS052_1,0.44
R1203v1TS286_1,0.44
R1203v1TS369_1,0.44
R1203v1TS189_2,0.44
R1203v1TS063_5,0.44
R1203v1TS231_1,0.44
R1203v1TS272_3,0.44
R1203v1TS369_1,0.44
R1203v1TS481_3,0.44
R1203v1TS052_2,0.44
R1203v1TS063_1,0.44
R1203v1TS231_1,0.44
R1203v1TS063_3,0.44
R1203v1TS052_2,0.44
R1203v1TS063_2,0.44
R1203v1TS272_3,0.44
R1203v1TS267_3,0.44
R1203v1TS286_1,0.44
R1203v1TS435_1,0.44
R1203v1TS481_5,0.43
R1203v1TS052_4,0.43
R1203v1TS481_5,0.43
R1203v1TS052_4,0.43
R1203v1TS189_1,0.43
R1203v1TS231_2,0.43
R1203v1TS231_2,0.43
R1203v1TS189_1,0.43
R1203v1TS481_1,0.43
R1203v1TS481_2,0.43
R1203v1TS286_2,0.43
R1203v1TS208_1,0.43
R1203v1TS208_1,0.43
R1203v1TS028_4,0.42
R1203v1TS435_2,0.42
R1203v1TS159_5,0.42
R1203v1TS456_5,0.42
R1203v1TS435_4,0.42
R1203v1TS435_4,0.42
R1203v1TS165_5,0.42
R1203v1TS159_5,0.42
R1203v1TS456_5,0.42
R1203v1TS165_5,0.42
R1203v1TS267_1,0.41
R1203v1TS159_4,0.41
R1203v1TS159_4,0.41
R1203v1TS317_4,0.4
R1203v1TS159_3,0.4
R1203v1TS159_3,0.4
R1203v1TS267_2,0.4
R1203v1TS235_4,0.4
R1203v1TS189_3,0.39
R1203v1TS189_4,0.39
R1203v1TS317_1,0.39
R1203v1TS317_5,0.39
R1203v1TS235_1,0.39
R1203v1TS028_3,0.37
R1203v1TS235_3,0.37
R1203v1TS298_1,0.37
R1203v1TS423_1,0.37
R1203v1TS462_4,0.36
R1203v1TS435_3,0.36
R1203v1TS110_1,0.35
R1203v1TS462_1,0.35
R1203v1TS462_3,0.35
R1203v1TS294_5,0.35
R1203v1TS110_3,0.34
R1203v1TS028_1,0.34
R1203v1TS462_5,0.34
R1203v1TS167_1,0.32
R1203v1TS167_4,0.32
R1203v1TS167_5,0.29
R1203v1TS110_5,0.29
R1203v1TS456_4,0.27
R1203v1TS231_3,0.27
R1203v1TS358_3,0.27
R1203v1TS110_2,0.27
R1203v1TS462_2,0.27
R1203v1TS110_4,0.26
R1203v1TS094_5,0.26
R1203v1TS231_4,0.25
R1203v1TS167_3,0.25
R1203v1TS156_4,0.25
R1203v1TS094_2,0.21
R1203v1TS272_2,0.2
R1203v1TS094_4,0.2
R1203v1TS358_4,0.2
R1203v1TS156_3,0.2
R1203v1TS358_2,0.2
R1203v1TS156_5,0.19
R1203v1TS169_4,0.19
R1203v1TS358_1,0.19
R1203v1TS156_2,0.19
R1203v1TS094_1,0.18
R1203v1TS169_5,0.16
R1203v1TS094_3,0.16
R1203v1TS358_5,0.16
R1203v1TS169_3,0.15
R1203v1TS169_2,0.14
R1203v1TS169_1,0.14
R1203v1TS261_5,0.13
R1203v1TS261_3,0.12
R1203v1TS261_2,0.12
R1203v1TS261_4,0.12
R1203v1TS450_4,0.11
R1203v1TS450_5,0.11
R1203v1TS450_3,0.11
R1203v1TS261_1,0.1
R1203v1TS450_1,0.1
R1203v1TS450_2,0.1
R1203v1TS033_1,0.02
R1203v1TS033_5,0.02
R1203v1TS033_2,0.02
R1203v1TS033_3,0.02
R1203v1TS033_4,0.02
