Model,dockq_interface_1,interface_1_name,dockq_interface_2,interface_2_name,dockq_interface_3,interface_3_name,Average_dockq
T1249v2TS079_4o,0.559,ABAC,0.572,ACAB,0.556,BCCB,0.5623333333333334
T1249v2TS293_4o,0.559,ABAC,0.572,ACAB,0.556,BCCB,0.5623333333333334
T1249v2TS241_5o,0.541,ABAB,0.55,ACAC,0.551,BCBC,0.5473333333333334
T1249v1TS293_1o,0.547,ABBA,0.531,ACBC,0.535,BCAC,0.5376666666666666
T1249v1TS079_1o,0.547,ABBA,0.531,ACBC,0.535,BCAC,0.5376666666666666
T1249v2TS204_5o,0.494,ABAB,0.521,ACAC,0.509,BCBC,0.508
T1249v2TS204_2o,0.501,ABBC,0.499,ACBA,0.515,BCCA,0.505
T1249v1TS301_4o,0.502,ABAC,0.499,ACAB,0.5,BCCB,0.5003333333333333
T1249v1TS301_5o,0.484,ABBC,0.517,ACBA,0.497,BCCA,0.49933333333333324
T1249v2TS219_1o,0.49,ABBA,0.496,ACBC,0.492,BCAC,0.49266666666666664
T1249v1TS322_4o,0.49,ABBA,0.496,ACBC,0.492,BCAC,0.49266666666666664
T1249v1TS219_4o,0.49,ABBA,0.496,ACBC,0.492,BCAC,0.49266666666666664
T1249v2TS322_1o,0.49,ABBA,0.496,ACBC,0.492,BCAC,0.49266666666666664
T1249v1TS423_2o,0.493,ABBC,0.48,ACBA,0.489,BCCA,0.48733333333333334
T1249v2TS091_5o,0.481,ABBC,0.49,ACBA,0.489,BCCA,0.48666666666666664
T1249v2TS450_2o,0.485,ABCA,0.475,ACCB,0.489,BCAB,0.48299999999999993
T1249v2TS167_2o,0.485,ABCA,0.475,ACCB,0.489,BCAB,0.48299999999999993
T1249v1TS267_2o,0.496,ABCB,0.483,ACCA,0.466,BCBA,0.4816666666666667
T1249v2TS091_1o,0.483,ABAB,0.475,ACAC,0.477,BCBC,0.47833333333333333
T1249v1TS393_3o,0.48,ABBC,0.478,ACBA,0.468,BCCA,0.47533333333333333
T1249v2TS287_2o,0.471,ABAB,0.486,ACAC,0.464,BCBC,0.4736666666666667
T1249v1TS311_2o,0.472,ABAC,0.473,ACAB,0.472,BCCB,0.47233333333333327
T1249v2TS311_2o,0.472,ABAC,0.473,ACAB,0.472,BCCB,0.47233333333333327
T1249v2TS059_3o,0.461,ABAC,0.474,ACAB,0.47,BCCB,0.4683333333333333
T1249v2TS241_1o,0.464,ABCA,0.469,ACCB,0.468,BCAB,0.467
T1249v2TS204_3o,0.458,ABBC,0.467,ACBA,0.462,BCCA,0.4623333333333333
T1249v1TS022_5o,0.462,ABCA,0.451,ACCB,0.469,BCAB,0.4606666666666667
T1249v2TS022_5o,0.462,ABCA,0.451,ACCB,0.469,BCAB,0.4606666666666667
T1249v1TS290_5o,0.462,ABBC,0.457,ACBA,0.462,BCCA,0.4603333333333333
T1249v2TS290_1o,0.462,ABBC,0.457,ACBA,0.462,BCCA,0.4603333333333333
T1249v2TS294_4o,0.46,ABCB,0.461,ACCA,0.459,BCBA,0.46
T1249v1TS052_3o,0.459,ABBC,0.458,ACBA,0.462,BCCA,0.45966666666666667
T1249v2TS022_3o,0.459,ABBC,0.458,ACBA,0.462,BCCA,0.45966666666666667
T1249v2TS052_3o,0.459,ABBC,0.458,ACBA,0.462,BCCA,0.45966666666666667
T1249v1TS022_3o,0.459,ABBC,0.458,ACBA,0.462,BCCA,0.45966666666666667
T1249v2TS314_5o,0.449,ABCB,0.448,ACCA,0.478,BCBA,0.4583333333333333
T1249v2TS079_1o,0.452,ABBA,0.452,ACBC,0.47,BCAC,0.458
T1249v2TS293_1o,0.452,ABBA,0.452,ACBC,0.47,BCAC,0.458
T1249v1TS423_3o,0.462,ABBA,0.454,ACBC,0.457,BCAC,0.45766666666666667
T1249v2TS345_5o,0.457,ABBC,0.448,ACBA,0.467,BCCA,0.45733333333333337
T1249v2TS028_1o,0.466,ABAB,0.449,ACAC,0.457,BCBC,0.45733333333333337
T1249v1TS345_5o,0.457,ABBC,0.448,ACBA,0.467,BCCA,0.45733333333333337
T1249v2TS319_3o,0.458,ABAB,0.453,ACAC,0.46,BCBC,0.457
T1249v1TS345_3o,0.458,ABAB,0.453,ACAC,0.46,BCBC,0.457
T1249v2TS425_3o,0.458,ABAB,0.453,ACAC,0.46,BCBC,0.457
T1249v1TS008_1o,0.443,ABBA,0.465,ACBC,0.463,BCAC,0.457
T1249v2TS331_3o,0.458,ABAB,0.453,ACAC,0.46,BCBC,0.457
T1249v1TS450_1o,0.461,ABCA,0.455,ACCB,0.453,BCAB,0.4563333333333333
T1249v1TS167_1o,0.461,ABCA,0.455,ACCB,0.453,BCAB,0.4563333333333333
T1249v2TS052_2o,0.454,ABCA,0.458,ACCB,0.454,BCAB,0.45533333333333337
T1249v1TS052_1o,0.454,ABCA,0.458,ACCB,0.454,BCAB,0.45533333333333337
T1249v2TS393_5o,0.462,ABBC,0.448,ACBA,0.455,BCCA,0.455
T1249v2TS293_3o,0.455,ABCB,0.456,ACCA,0.452,BCBA,0.4543333333333333
T1249v2TS079_3o,0.455,ABCB,0.456,ACCA,0.452,BCBA,0.4543333333333333
T1249v2TS267_5o,0.447,ABCB,0.467,ACCA,0.449,BCBA,0.4543333333333333
T1249v2TS028_4o,0.452,ABAB,0.453,ACAC,0.454,BCBC,0.453
T1249v2TS375_1o,0.447,ABCA,0.451,ACCB,0.46,BCAB,0.4526666666666667
T1249v1TS059_2o,0.457,ABAC,0.453,ACAB,0.447,BCCB,0.4523333333333333
T1249v2TS204_4o,0.452,ABCA,0.447,ACCB,0.457,BCAB,0.452
T1249v2TS456_4o,0.455,ABBA,0.449,ACBC,0.448,BCAC,0.4506666666666667
T1249v1TS456_1o,0.455,ABBA,0.449,ACBC,0.448,BCAC,0.4506666666666667
T1249v1TS059_1o,0.453,ABAC,0.436,ACAB,0.463,BCCB,0.4506666666666667
T1249v2TS110_1o,0.453,ABAB,0.441,ACAC,0.456,BCBC,0.45
T1249v2TS462_1o,0.453,ABAB,0.441,ACAC,0.456,BCBC,0.45
T1249v2TS147_1o,0.453,ABAB,0.441,ACAC,0.456,BCBC,0.45
T1249v1TS423_1o,0.446,ABBA,0.445,ACBC,0.448,BCAC,0.4463333333333333
T1249v2TS008_1o,0.438,ABAB,0.454,ACAC,0.445,BCBC,0.44566666666666666
T1249v1TS375_4o,0.444,ABAB,0.441,ACAC,0.451,BCBC,0.44533333333333336
T1249v2TS423_5o,0.445,ABCA,0.442,ACCB,0.446,BCAB,0.4443333333333333
T1249v1TS369_3o,0.445,ABBA,0.441,ACBC,0.446,BCAC,0.444
T1249v2TS312_4o,0.447,ABCA,0.443,ACCB,0.442,BCAB,0.444
T1249v1TS008_4o,0.453,ABCA,0.433,ACCB,0.446,BCAB,0.444
T1249v2TS264_4o,0.447,ABCA,0.443,ACCB,0.442,BCAB,0.444
T1249v2TS369_3o,0.445,ABBA,0.441,ACBC,0.446,BCAC,0.444
T1249v2TS148_4o,0.447,ABCA,0.443,ACCB,0.442,BCAB,0.444
T1249v2TS110_5o,0.444,ABCA,0.439,ACCB,0.446,BCAB,0.443
T1249v2TS022_1o,0.444,ABBC,0.441,ACBA,0.443,BCCA,0.4426666666666667
T1249v2TS147_3o,0.442,ABCA,0.442,ACCB,0.444,BCAB,0.4426666666666667
T1249v1TS052_2o,0.444,ABBC,0.441,ACBA,0.443,BCCA,0.4426666666666667
T1249v1TS022_1o,0.444,ABBC,0.441,ACBA,0.443,BCCA,0.4426666666666667
T1249v2TS110_4o,0.442,ABCA,0.442,ACCB,0.444,BCAB,0.4426666666666667
T1249v2TS462_3o,0.442,ABCA,0.442,ACCB,0.444,BCAB,0.4426666666666667
T1249v2TS287_1o,0.44,ABBC,0.442,ACBA,0.439,BCCA,0.4403333333333333
T1249v2TS264_3o,0.44,ABBC,0.437,ACBA,0.442,BCCA,0.43966666666666665
T1249v2TS148_3o,0.44,ABBC,0.437,ACBA,0.442,BCCA,0.43966666666666665
T1249v2TS312_3o,0.44,ABBC,0.437,ACBA,0.442,BCCA,0.43966666666666665
T1249v2TS311_4o,0.439,ABAB,0.44,ACAC,0.439,BCBC,0.43933333333333335
T1249v1TS311_4o,0.439,ABAB,0.44,ACAC,0.439,BCBC,0.43933333333333335
T1249v2TS122_3o,0.438,ABBC,0.44,ACBA,0.439,BCCA,0.439
T1249v2TS475_2o,0.438,ABBC,0.44,ACBA,0.439,BCCA,0.439
T1249v2TS075_2o,0.438,ABBC,0.44,ACBA,0.439,BCCA,0.439
T1249v2TS284_2o,0.438,ABBC,0.44,ACBA,0.439,BCCA,0.439
T1249v2TS293_2o,0.44,ABAC,0.425,ACAB,0.451,BCCB,0.4386666666666667
T1249v2TS079_2o,0.44,ABAC,0.425,ACAB,0.451,BCCB,0.4386666666666667
T1249v2TS312_1o,0.431,ABAB,0.444,ACAC,0.439,BCBC,0.438
T1249v2TS148_1o,0.431,ABAB,0.444,ACAC,0.439,BCBC,0.438
T1249v2TS264_1o,0.431,ABAB,0.444,ACAC,0.439,BCBC,0.438
T1249v1TS015_5o,0.436,ABBA,0.433,ACBC,0.441,BCAC,0.4366666666666667
T1249v2TS015_5o,0.436,ABBA,0.433,ACBC,0.441,BCAC,0.4366666666666667
T1249v1TS375_3o,0.439,ABCA,0.435,ACCB,0.435,BCAB,0.4363333333333333
T1249v2TS290_5o,0.441,ABBC,0.428,ACBA,0.439,BCCA,0.436
T1249v2TS290_3o,0.435,ABAC,0.442,ACAB,0.431,BCCB,0.436
T1249v2TS267_3o,0.431,ABAC,0.44,ACAB,0.429,BCCB,0.43333333333333335
T1249v1TS423_5o,0.432,ABCA,0.429,ACCB,0.437,BCAB,0.4326666666666667
T1249v2TS267_1o,0.432,ABBA,0.432,ACBC,0.434,BCAC,0.4326666666666667
T1249v2TS028_3o,0.437,ABCA,0.433,ACCB,0.428,BCAB,0.4326666666666667
T1249v2TS314_4o,0.443,ABBA,0.41,ACBC,0.442,BCAC,0.43166666666666664
T1249v2TS091_2o,0.436,ABCB,0.427,ACCA,0.429,BCBA,0.4306666666666667
T1249v2TS423_1o,0.431,ABAB,0.429,ACAC,0.432,BCBC,0.4306666666666667
T1249v1TS304_2o,0.429,ABBC,0.437,ACBA,0.425,BCCA,0.4303333333333333
T1249v2TS301_4o,0.427,ABAC,0.429,ACAB,0.435,BCCB,0.4303333333333333
T1249v1TS272_3o,0.417,ABCA,0.441,ACCB,0.432,BCAB,0.43
T1249v2TS375_2o,0.43,ABAB,0.428,ACAC,0.429,BCBC,0.429
T1249v1TS304_1o,0.43,ABAB,0.428,ACAC,0.428,BCBC,0.4286666666666667
T1249v2TS294_3o,0.428,ABCA,0.426,ACCB,0.431,BCAB,0.4283333333333333
T1249v2TS022_4o,0.433,ABAB,0.427,ACAC,0.425,BCBC,0.4283333333333333
T1249v1TS051_2o,0.424,ABCA,0.427,ACCB,0.433,BCAB,0.428
T1249v1TS345_2o,0.424,ABCA,0.427,ACCB,0.433,BCAB,0.428
T1249v2TS051_2o,0.424,ABCA,0.427,ACCB,0.433,BCAB,0.428
T1249v2TS345_2o,0.424,ABCA,0.427,ACCB,0.433,BCAB,0.428
T1249v1TS241_3o,0.427,ABBC,0.428,ACBA,0.427,BCCA,0.42733333333333334
T1249v2TS294_1o,0.424,ABBC,0.43,ACBA,0.428,BCCA,0.42733333333333334
T1249v1TS091_5o,0.431,ABAC,0.415,ACAB,0.435,BCCB,0.427
T1249v2TS331_1o,0.427,ABAB,0.423,ACAC,0.429,BCBC,0.4263333333333333
T1249v1TS425_4o,0.427,ABAB,0.423,ACAC,0.429,BCBC,0.4263333333333333
T1249v2TS319_1o,0.427,ABAB,0.423,ACAC,0.429,BCBC,0.4263333333333333
T1249v1TS319_4o,0.427,ABAB,0.423,ACAC,0.429,BCBC,0.4263333333333333
T1249v1TS051_5o,0.427,ABAB,0.423,ACAC,0.429,BCBC,0.4263333333333333
T1249v2TS425_1o,0.427,ABAB,0.423,ACAC,0.429,BCBC,0.4263333333333333
T1249v2TS051_5o,0.427,ABAB,0.423,ACAC,0.429,BCBC,0.4263333333333333
T1249v1TS331_4o,0.427,ABAB,0.423,ACAC,0.429,BCBC,0.4263333333333333
T1249v2TS031_4o,0.418,ABBD,0.423,ACBC,0.435,BCDC,0.42533333333333334
T1249v2TS393_4o,0.432,ABCA,0.416,ACCB,0.424,BCAB,0.424
T1249v2TS051_4o,0.423,ABAB,0.424,ACAC,0.425,BCBC,0.424
T1249v1TS051_3o,0.423,ABAB,0.424,ACAC,0.425,BCBC,0.424
T1249v2TS294_2o,0.418,ABBC,0.427,ACBA,0.427,BCCA,0.424
T1249v1TS014_5o,0.427,ABAC,0.422,ACAB,0.423,BCCB,0.424
T1249v1TS294_4o,0.425,ABBA,0.42,ACBC,0.426,BCAC,0.42366666666666664
T1249v2TS294_5o,0.425,ABBA,0.42,ACBC,0.426,BCAC,0.42366666666666664
T1249v1TS014_3o,0.425,ABBC,0.44,ACBA,0.405,BCCA,0.42333333333333334
T1249v1TS241_1o,0.436,ABBC,0.41,ACBA,0.423,BCCA,0.423
T1249v2TS311_3o,0.42,ABBA,0.426,ACBC,0.42,BCAC,0.422
T1249v1TS311_3o,0.42,ABBA,0.426,ACBC,0.42,BCAC,0.422
T1249v2TS301_5o,0.417,ABBA,0.429,ACBC,0.418,BCAC,0.42133333333333334
T1249v2TS008_2o,0.427,ABBC,0.42,ACBA,0.415,BCCA,0.4206666666666667
T1249v2TS393_1o,0.427,ABBC,0.413,ACBA,0.421,BCCA,0.4203333333333333
T1249v2TS301_2o,0.413,ABAC,0.416,ACAB,0.426,BCCB,0.4183333333333333
T1249v2TS301_1o,0.412,ABAC,0.414,ACAB,0.429,BCCB,0.4183333333333333
T1249v2TS031_5o,0.414,ABCD,0.419,ACCB,0.42,BCDB,0.41766666666666663
T1249v2TS290_2o,0.418,ABAC,0.41,ACAB,0.419,BCCB,0.41566666666666663
T1249v2TS293_5o,0.422,ABCB,0.417,ACCA,0.405,BCBA,0.4146666666666667
T1249v1TS293_3o,0.422,ABCB,0.417,ACCA,0.405,BCBA,0.4146666666666667
T1249v2TS079_5o,0.422,ABCB,0.417,ACCA,0.405,BCBA,0.4146666666666667
T1249v1TS079_3o,0.422,ABCB,0.417,ACCA,0.405,BCBA,0.4146666666666667
T1249v1TS301_2o,0.415,ABCB,0.401,ACCA,0.427,BCBA,0.4143333333333334
T1249v2TS301_3o,0.417,ABBA,0.412,ACBC,0.414,BCAC,0.4143333333333333
T1249v1TS369_2o,0.407,ABAC,0.415,ACAB,0.42,BCCB,0.414
T1249v2TS369_2o,0.407,ABAC,0.415,ACAB,0.42,BCCB,0.414
T1249v1TS091_3o,0.411,ABBA,0.417,ACBC,0.414,BCAC,0.414
T1249v1TS293_4o,0.414,ABBC,0.41,ACBA,0.417,BCCA,0.4136666666666666
T1249v2TS052_5o,0.417,ABCA,0.414,ACCB,0.41,BCAB,0.4136666666666666
T1249v1TS267_3o,0.42,ABBA,0.408,ACBC,0.413,BCAC,0.4136666666666666
T1249v1TS052_5o,0.417,ABCA,0.414,ACCB,0.41,BCAB,0.4136666666666666
T1249v1TS079_4o,0.414,ABBC,0.41,ACBA,0.417,BCCA,0.4136666666666666
T1249v1TS031_5o,0.414,ABDC,0.416,ACDB,0.41,BCCB,0.41333333333333333
T1249v1TS345_4o,0.404,ABBC,0.427,ACBA,0.409,BCCA,0.41333333333333333
T1249v2TS345_1o,0.404,ABBC,0.427,ACBA,0.409,BCCA,0.41333333333333333
T1249v2TS051_1o,0.404,ABBC,0.427,ACBA,0.409,BCCA,0.41333333333333333
T1249v2TS031_1o,0.414,ABDC,0.416,ACDB,0.41,BCCB,0.41333333333333333
T1249v1TS423_4o,0.413,ABCA,0.41,ACCB,0.414,BCAB,0.4123333333333333
T1249v2TS423_3o,0.414,ABCA,0.41,ACCB,0.413,BCAB,0.4123333333333333
T1249v1TS311_5o,0.415,ABBC,0.414,ACBA,0.406,BCCA,0.4116666666666666
T1249v2TS311_5o,0.415,ABBC,0.414,ACBA,0.406,BCCA,0.4116666666666666
T1249v2TS423_4o,0.411,ABBC,0.408,ACBA,0.414,BCCA,0.411
T1249v2TS423_2o,0.411,ABBC,0.408,ACBA,0.414,BCCA,0.411
T1249v2TS147_5o,0.411,ABAB,0.408,ACAC,0.413,BCBC,0.4106666666666667
T1249v2TS462_5o,0.411,ABAB,0.408,ACAC,0.413,BCBC,0.4106666666666667
T1249v1TS294_5o,0.408,ABCB,0.403,ACCA,0.418,BCBA,0.4096666666666666
T1249v1TS059_3o,0.411,ABAB,0.414,ACAC,0.402,BCBC,0.409
T1249v1TS393_2o,0.409,ABAB,0.394,ACAC,0.415,BCBC,0.40599999999999997
T1249v2TS290_4o,0.409,ABBC,0.402,ACBA,0.406,BCCA,0.4056666666666667
T1249v2TS031_3o,0.407,ABCB,0.404,ACCD,0.406,BCBD,0.4056666666666667
T1249v2TS241_4o,0.401,ABBC,0.4,ACBA,0.415,BCCA,0.4053333333333333
T1249v2TS031_2o,0.407,ABCD,0.4,ACCB,0.409,BCDB,0.4053333333333333
T1249v1TS301_3o,0.408,ABAC,0.395,ACAB,0.412,BCCB,0.40499999999999997
T1249v2TS167_1o,0.404,ABAB,0.389,ACAC,0.421,BCBC,0.4046666666666667
T1249v2TS450_1o,0.404,ABAB,0.389,ACAC,0.421,BCBC,0.4046666666666667
T1249v2TS059_1o,0.415,ABBA,0.396,ACBC,0.402,BCAC,0.4043333333333334
T1249v2TS059_2o,0.402,ABAB,0.403,ACAC,0.405,BCBC,0.4033333333333333
T1249v1TS059_4o,0.4,ABAC,0.405,ACAB,0.402,BCCB,0.4023333333333334
T1249v1TS301_1o,0.405,ABBA,0.392,ACBC,0.399,BCAC,0.3986666666666667
T1249v2TS319_2o,0.397,ABCA,0.395,ACCB,0.403,BCAB,0.3983333333333334
T1249v2TS331_2o,0.397,ABCA,0.395,ACCB,0.403,BCAB,0.3983333333333334
T1249v2TS425_2o,0.397,ABCA,0.395,ACCB,0.403,BCAB,0.3983333333333334
T1249v1TS425_5o,0.397,ABCA,0.395,ACCB,0.403,BCAB,0.3983333333333334
T1249v1TS331_5o,0.397,ABCA,0.395,ACCB,0.403,BCAB,0.3983333333333334
T1249v1TS319_5o,0.397,ABCA,0.395,ACCB,0.403,BCAB,0.3983333333333334
T1249v2TS014_1o,0.399,ABCA,0.394,ACCB,0.398,BCAB,0.397
T1249v1TS014_4o,0.404,ABCA,0.39,ACCB,0.394,BCAB,0.3960000000000001
T1249v1TS267_4o,0.398,ABBA,0.389,ACBC,0.399,BCAC,0.3953333333333333
T1249v2TS091_4o,0.402,ABBC,0.393,ACBA,0.388,BCCA,0.39433333333333337
T1249v2TS147_2o,0.396,ABBC,0.382,ACBA,0.404,BCCA,0.39399999999999996
T1249v2TS462_2o,0.396,ABBC,0.382,ACBA,0.404,BCCA,0.39399999999999996
T1249v2TS028_5o,0.396,ABBC,0.382,ACBA,0.404,BCCA,0.39399999999999996
T1249v1TS241_2o,0.403,ABAB,0.373,ACAC,0.406,BCBC,0.39399999999999996
T1249v2TS284_3o,0.387,ABAB,0.393,ACAC,0.401,BCBC,0.39366666666666666
T1249v2TS475_3o,0.387,ABAB,0.393,ACAC,0.401,BCBC,0.39366666666666666
T1249v2TS075_3o,0.387,ABAB,0.393,ACAC,0.401,BCBC,0.39366666666666666
T1249v2TS122_4o,0.387,ABAB,0.393,ACAC,0.401,BCBC,0.39366666666666666
T1249v1TS267_1o,0.4,ABBA,0.381,ACBC,0.397,BCAC,0.39266666666666666
T1249v2TS164_5o,0.393,ABAC,0.392,ACAB,0.393,BCCB,0.39266666666666666
T1249v2TS267_2o,0.403,ABCB,0.379,ACCA,0.395,BCBA,0.39233333333333337
T1249v2TS287_3o,0.393,ABAB,0.388,ACAC,0.395,BCBC,0.39200000000000007
T1249v2TS040_3o,0.4,ABAB,0.386,ACAC,0.388,BCBC,0.3913333333333333
T1249v2TS059_5o,0.379,ABBA,0.396,ACBC,0.395,BCAC,0.38999999999999996
T1249v2TS314_2o,0.391,ABCB,0.388,ACCA,0.39,BCBA,0.38966666666666666
T1249v2TS241_2o,0.403,ABCA,0.374,ACCB,0.387,BCAB,0.38800000000000007
T1249v2TS198_2o,0.391,ABAB,0.383,ACAC,0.384,BCBC,0.38599999999999995
T1249v1TS369_1o,0.386,ABCB,0.383,ACCA,0.386,BCBA,0.385
T1249v2TS369_1o,0.386,ABCB,0.383,ACCA,0.386,BCBA,0.385
T1249v1TS167_3o,0.383,ABBC,0.389,ACBA,0.382,BCCA,0.38466666666666666
T1249v1TS450_3o,0.383,ABBC,0.389,ACBA,0.382,BCCA,0.38466666666666666
T1249v1TS375_1o,0.377,ABAB,0.39,ACAC,0.386,BCBC,0.38433333333333336
T1249v1TS293_5o,0.392,ABBC,0.37,ACBA,0.39,BCCA,0.38400000000000006
T1249v1TS079_5o,0.392,ABBC,0.37,ACBA,0.39,BCCA,0.38400000000000006
T1249v1TS008_5o,0.372,ABAB,0.393,ACAC,0.38,BCBC,0.38166666666666665
T1249v2TS375_3o,0.376,ABAB,0.38,ACAC,0.383,BCBC,0.37966666666666665
T1249v2TS375_4o,0.376,ABAB,0.38,ACAC,0.383,BCBC,0.37966666666666665
T1249v2TS008_5o,0.366,ABBC,0.379,ACBA,0.384,BCCA,0.37633333333333335
T1249v1TS198_2o,0.38,ABAB,0.376,ACAC,0.372,BCBC,0.37600000000000006
T1249v1TS145_2o,0.373,ABBA,0.363,ACBC,0.391,BCAC,0.37566666666666665
T1249v1TS380_4o,0.373,ABBA,0.363,ACBC,0.391,BCAC,0.37566666666666665
T1249v2TS208_4o,0.379,ABAB,0.368,ACAC,0.376,BCBC,0.37433333333333335
T1249v2TS380_4o,0.367,ABCB,0.381,ACCA,0.374,BCBA,0.37399999999999994
T1249v2TS145_2o,0.367,ABCB,0.381,ACCA,0.374,BCBA,0.37399999999999994
T1249v1TS051_4o,0.385,ABAB,0.365,ACAC,0.371,BCBC,0.37366666666666665
T1249v1TS267_5o,0.375,ABBA,0.37,ACBC,0.375,BCAC,0.37333333333333335
T1249v2TS110_2o,0.384,ABCA,0.367,ACCB,0.369,BCAB,0.37333333333333335
T1249v2TS091_3o,0.38,ABBC,0.369,ACBA,0.369,BCCA,0.37266666666666665
T1249v2TS015_3o,0.365,ABAC,0.376,ACAB,0.373,BCCB,0.3713333333333333
T1249v2TS311_1o,0.378,ABBA,0.369,ACBC,0.367,BCAC,0.3713333333333333
T1249v1TS015_3o,0.365,ABAC,0.376,ACAB,0.373,BCCB,0.3713333333333333
T1249v1TS311_1o,0.378,ABBA,0.369,ACBC,0.367,BCAC,0.3713333333333333
T1249v1TS008_3o,0.365,ABBC,0.381,ACBA,0.365,BCCA,0.37033333333333335
T1249v2TS164_4o,0.369,ABBA,0.366,ACBC,0.37,BCAC,0.36833333333333335
T1249v1TS375_2o,0.365,ABBC,0.363,ACBA,0.371,BCCA,0.36633333333333334
T1249v1TS314_2o,0.361,ABBC,0.362,ACBA,0.375,BCCA,0.36599999999999994
T1249v1TS091_2o,0.369,ABAC,0.366,ACAB,0.362,BCCB,0.36566666666666664
T1249v2TS274_1o,0.36,ABCA,0.368,ACCB,0.366,BCAB,0.36466666666666664
T1249v2TS456_5o,0.366,ABAB,0.371,ACAC,0.356,BCBC,0.36433333333333334
T1249v1TS456_5o,0.366,ABAB,0.371,ACAC,0.356,BCBC,0.36433333333333334
T1249v2TS052_1o,0.372,ABAB,0.359,ACAC,0.36,BCBC,0.36366666666666664
T1249v1TS287_5o,0.365,ABAB,0.353,ACAC,0.371,BCBC,0.363
T1249v2TS187_1o,0.363,ABBA,0.357,ACBC,0.366,BCAC,0.36199999999999993
T1249v1TS163_3o,0.36,ABBA,0.358,ACBC,0.367,BCAC,0.36166666666666664
T1249v2TS163_3o,0.36,ABBA,0.358,ACBC,0.367,BCAC,0.36166666666666664
T1249v1TS241_5o,0.371,ABCA,0.343,ACCB,0.37,BCAB,0.36133333333333334
T1249v1TS187_1o,0.352,ABCB,0.364,ACCA,0.363,BCBA,0.35966666666666663
T1249v2TS380_3o,0.359,ABBA,0.358,ACBC,0.36,BCAC,0.359
T1249v2TS145_1o,0.359,ABBA,0.358,ACBC,0.36,BCAC,0.359
T1249v1TS380_3o,0.357,ABCB,0.359,ACCA,0.359,BCBA,0.35833333333333334
T1249v1TS145_1o,0.357,ABCB,0.359,ACCA,0.359,BCBA,0.35833333333333334
T1249v2TS322_2o,0.356,ABCA,0.355,ACCB,0.36,BCAB,0.357
T1249v2TS219_2o,0.356,ABCA,0.355,ACCB,0.36,BCAB,0.357
T1249v1TS219_3o,0.356,ABCA,0.355,ACCB,0.36,BCAB,0.357
T1249v1TS322_3o,0.356,ABCA,0.355,ACCB,0.36,BCAB,0.357
T1249v2TS117_2o,0.332,ABBA,0.369,ACBC,0.367,BCAC,0.35600000000000004
T1249v1TS091_4o,0.356,ABAB,0.356,ACAC,0.355,BCBC,0.35566666666666663
T1249v2TS322_4o,0.346,ABAC,0.344,ACAB,0.373,BCCB,0.35433333333333333
T1249v1TS322_2o,0.346,ABAC,0.344,ACAB,0.373,BCCB,0.35433333333333333
T1249v1TS219_2o,0.346,ABAC,0.344,ACAB,0.373,BCCB,0.35433333333333333
T1249v2TS219_4o,0.346,ABAC,0.344,ACAB,0.373,BCCB,0.35433333333333333
T1249v2TS117_1o,0.39,ABAC,0.317,ACAB,0.349,BCCB,0.35200000000000004
T1249v1TS393_4o,0.372,ABCA,0.329,ACCB,0.354,BCAB,0.35166666666666674
T1249v2TS494_4o,0.339,ABAC,0.353,ACAB,0.362,BCCB,0.3513333333333333
T1249v1TS494_4o,0.339,ABAC,0.353,ACAB,0.362,BCCB,0.3513333333333333
