Model,Gr.Code,TMscore,TMalign
36  M1228v2TS204_4.pdb ,204,0.657,0.64
37  M1228v2TS110_5.pdb ,110s     ,0.665,0.662
38  M1228v2TS286_1.pdb ,286,0.71,0.701
39  M1228v2TS462_5.pdb ,462,0.676,0.672
40  M1228v2TS462_3.pdb ,462,0.727,0.717
41  M1228v2TS241_4.pdb ,241,0.673,0.664
42  M1228v2TS481_2.pdb ,481,0.794,0.796
43  M1228v2TS033_1.pdb ,33,0.721,0.712
44  M1228v2TS241_5.pdb ,241,0.702,0.692
45  M1228v2TS286_4.pdb ,286,0.675,0.66
46  M1228v2TS204_3.pdb ,204,0.706,0.697
47  M1228v2TS462_4.pdb ,462,0.64,0.622
48  M1228v2TS262_3.pdb ,262,0.698,0.689
49  M1228v2TS241_2.pdb ,241,0.68,0.673
50  M1228v2TS450_2.pdb ,450s     ,0.656,0.652
51  M1228v2TS167_2.pdb ,167,0.656,0.652
52  M1228v2TS091_1.pdb ,91,0.694,0.683
53  M1228v2TS286_5.pdb ,286,0.7,0.691
54  M1228v2TS262_1.pdb ,262,0.679,0.673
55  M1228v2TS286_3.pdb ,286,0.698,0.684
56  M1228v2TS262_4.pdb ,262,0.679,0.673
57  M1228v2TS262_5.pdb ,262,0.682,0.673
58  M1228v2TS262_2.pdb ,262,0.682,0.673
59  M1228v2TS450_1.pdb ,450s     ,0.665,0.655
60  M1228v2TS167_1.pdb ,167,0.665,0.655
61  M1228v2TS028_1.pdb ,028s     ,0.66,0.652
62  M1228v2TS481_5.pdb ,481,0.675,0.664
63  M1228v2TS110_1.pdb ,110s     ,0.659,0.652
64  M1228v2TS028_2.pdb ,028s     ,0.66,0.651
65  M1228v2TS028_3.pdb ,028s     ,0.661,0.652
66  M1228v2TS091_3.pdb ,91,0.67,0.662
67  M1228v2TS110_2.pdb ,110s     ,0.655,0.646
68  M1228v2TS489_5.pdb ,489,0.695,0.679
69  M1228v2TS028_5.pdb ,028s     ,0.681,0.675
70  M1228v2TS167_4.pdb ,167,0.687,0.676
71  M1228v2TS450_4.pdb ,450s     ,0.687,0.676
72  M1228v2TS167_3.pdb ,167,0.681,0.67
73  M1228v2TS450_3.pdb ,450s     ,0.681,0.67
74  M1228v2TS167_5.pdb ,167,0.676,0.665
75  M1228v2TS450_5.pdb ,450s     ,0.676,0.665
76  M1228v2TS110_4.pdb ,110s     ,0.669,0.667
77  M1228v2TS091_4.pdb ,91,0.684,0.675
78  M1228v2TS286_2.pdb ,286,0.647,0.628
79  M1228v2TS091_5.pdb ,91,0.684,0.676
80  M1228v2TS481_3.pdb ,481,0.598,0.566
81  M1228v2TS481_4.pdb ,481,0.574,0.543
82  M1228v2TS462_1.pdb ,462,0.775,0.78
83  M1228v2TS456_3.pdb ,456s     ,0.715,0.704
84  M1228v2TS274_4.pdb ,274,0.658,0.651
85  M1228v2TS494_4.pdb ,494,0.658,0.651
86  M1228v2TS494_5.pdb ,494,0.667,0.659
87  M1228v2TS456_2.pdb ,456s     ,0.761,0.767
88  M1228v2TS052_2.pdb ,052s     ,0.761,0.767
89  M1228v2TS052_3.pdb ,052s     ,0.69,0.691
90  M1228v2TS052_4.pdb ,052s     ,0.699,0.689
91  M1228v2TS274_5.pdb ,274,0.667,0.659
92  M1228v2TS052_5.pdb ,052s     ,0.81,0.813
93  M1228v2TS456_5.pdb ,456s     ,0.784,0.781
94  M1228v2TS494_3.pdb ,494,0.761,0.765
95  M1228v2TS022_3.pdb ,22,0.708,0.696
96  M1228v2TS022_2.pdb ,22,0.799,0.798
97  M1228v2TS489_2.pdb ,489,0.677,0.666
98  M1228v2TS274_3.pdb ,274,0.761,0.765
99  M1228v2TS022_4.pdb ,22,0.668,0.664
100 M1228v2TS022_5.pdb ,22,0.784,0.788
101 M1228v2TS456_4.pdb ,456s     ,0.723,0.717
102 M1228v2TS274_2.pdb ,274,0.711,0.703
103 M1228v2TS494_2.pdb ,494,0.711,0.703
104 M1228v2TS323_1.pdb ,323,0.676,0.653
105 M1228v2TS494_1.pdb ,494,0.731,0.722
106 M1228v2TS274_1.pdb ,274,0.731,0.722
107 M1228v2TS014_1.pdb ,14,0.615,0.582
108 M1228v2TS014_3.pdb ,14,0.683,0.678
109 M1228v2TS014_4.pdb ,14,0.687,0.677
110 M1228v2TS014_2.pdb ,14,0.691,0.679
111 M1228v2TS014_5.pdb ,14,0.706,0.694
112 M1228v2TS456_1.pdb ,456s     ,0.162,0.165
113 M1228v2TS052_1.pdb ,052s     ,0.16,0.155
114 M1228v2TS022_1.pdb ,22,0.161,0.167
