Group,Group_Name,Combined_Score,Best_v1_ref,Best_v2_ref,V1_Model_For_Combined_Score,V2_Model_For_Combined_Score,Best_Score,Best_Source,v1_v1_Score,v1_v2_Score,v2_v1_Score,v2_v2_Score,v1_v1_ModelNumber,v1_v2_ModelNumber,v2_v1_ModelNumber,v2_v2_ModelNumber
TS189,LCBio,1.428,0.718,0.71,TS189_v1_2,TS189_v2_4,0.718,v1_v1,0.718,,,0.71,2.0,,,4.0
TS338,GeneSilico,1.422,0.71,0.712,TS338_v1_2,TS338_v2_5,0.712,v2_v2,0.71,,,0.712,2.0,,,5.0
TS456,Yang-Multimer,1.401,0.729,0.672,TS456_v1_1,TS456_v2_2,0.729,v1_v1,0.729,,,0.672,1.0,,,2.0
TS052,Yang-Server,1.3929999999999998,0.7,0.693,TS052_v1_1,TS052_v2_5,0.7,v1_v1,0.7,,,0.693,1.0,,,5.0
TS448,dNAfold,1.3780000000000001,0.661,0.717,TS448_v1_1,TS448_v2_5,0.717,v2_v2,0.661,,,0.717,1.0,,,5.0
TS167,OpenComplex,1.375,0.814,0.561,TS167_v1_2,TS167_v2_3,0.814,v1_v1,0.814,,,0.561,2.0,,,3.0
TS267,kiharalab_server,1.367,0.679,0.688,TS267_v1_5,TS267_v2_1,0.688,v2_v2,0.679,,,0.688,5.0,,,1.0
TS317,GuangzhouRNA_AI,1.3519999999999999,0.633,0.719,TS317_v1_5,TS317_v2_4,0.719,v2_v2,0.633,,,0.719,5.0,,,4.0
TS028,NKRNA-s,1.347,0.701,0.646,TS028_v1_2,TS028_v2_3,0.701,v1_v1,0.701,,,0.646,2.0,,,3.0
TS450,OpenComplex_Server,1.1280000000000001,0.567,0.561,TS450_v1_2,TS450_v2_3,0.567,v1_v1,0.567,,,0.561,2.0,,,3.0
TS462,Zheng,1.126,0.553,0.573,TS462_v1_4,TS462_v2_1,0.573,v2_v2,0.553,,,0.573,4.0,,,1.0
TS110,MIEnsembles-Server,1.123,0.545,0.578,TS110_v1_5,TS110_v2_1,0.578,v2_v2,0.545,,,0.578,5.0,,,1.0
TS156,SoutheRNA,1.112,0.595,0.517,TS156_v1_1,TS156_v2_4,0.595,v1_v1,0.595,,,0.517,1.0,,,4.0
TS358,PerezLab_Gators,1.105,0.511,0.594,TS358_v1_1,TS358_v2_3,0.594,v2_v2,0.511,,,0.594,1.0,,,3.0
TS169,thermomaps,0.849,0.381,0.468,TS169_v1_5,TS169_v2_4,0.468,v2_v2,0.381,,,0.468,5.0,,,4.0
TS276,FrederickFolding,0.823,0.823,0.0,TS276_v1_1,TS276_v2_None,0.823,v1_v1,0.823,,,0.0,1.0,,,
TS400,OmniFold,0.818,0.818,0.0,TS400_v1_1,TS400_v2_None,0.818,v1_v1,0.818,,,0.0,1.0,,,
TS261,UNRES,0.782,0.378,0.404,TS261_v1_1,TS261_v2_3,0.404,v2_v2,0.378,,,0.404,1.0,,,3.0
TS367,AIR,0.626,0.0,0.626,TS367_v1_None,TS367_v2_1,0.626,v2_v2,0.0,,,0.626,,,,1.0
TS423,ShanghaiTech-server,0.538,0.538,0.0,TS423_v1_1,TS423_v2_None,0.538,v1_v1,0.538,,,0.0,1.0,,,
TS298,ShanghaiTech-human,0.538,0.538,0.0,TS298_v1_1,TS298_v2_None,0.538,v1_v1,0.538,,,0.0,1.0,,,
TS403,mmagnus,0.488,0.0,0.488,TS403_v1_None,TS403_v2_1,0.488,v2_v2,0.0,,,0.488,,,,1.0
TS208,falcon2,0.393,0.393,0.0,TS208_v1_1,TS208_v2_None,0.393,v1_v1,0.393,,,0.0,1.0,,,
TS094,SimRNA-Server,0.202,0.086,0.116,TS094_v1_3,TS094_v2_5,0.116,v2_v2,0.086,,,0.116,3.0,,,5.0
TS306,GeneSilicoRNA-server,0.008,0.008,0.0,TS306_v1_1,TS306_v2_None,0.008,v1_v1,0.008,,,0.0,1.0,,,
TS033,Diff,0.0,0.0,0.0,TS033_v1_1,TS033_v2_3,0.0,v2_v2,0.0,,,0.0,1.0,,,3.0
