Model,Group,Model Number,Model Version,TMscore
T1249v1TS262_1,TS262,1,v1,0.763
T1249v1TS110_5,TS110,5,v1,0.9454
T1249v1TS393_5,TS393,5,v1,0.9403
T1249v1TS145_2,TS145,2,v1,0.945
T1249v1TS450_2,TS450,2,v1,0.9418
T1249v1TS112_2,TS112,2,v1,0.9474
T1249v1TS241_3,TS241,3,v1,0.938
T1249v1TS079_4,TS079,4,v1,0.9482
T1249v1TS304_3,TS304,3,v1,0.9489
T1249v1TS312_3,TS312,3,v1,0.9528
T1249v1TS015_5,TS015,5,v1,0.9461
T1249v1TS388_1,TS388,1,v1,0.6724
T1249v1TS019_1,TS019,1,v1,0.9527
T1249v1TS468_4,TS468,4,v1,0.9292
T1249v1TS345_3,TS345,3,v1,0.9385
T1249v1TS311_4,TS311,4,v1,0.9374
T1249v1TS294_3,TS294,3,v1,0.4971
T1249v1TS017_3,TS017,3,v1,0.9458
T1249v1TS465_1,TS465,1,v1,0.9002
T1249v1TS369_3,TS369,3,v1,0.9387
T1249v1TS014_4,TS014,4,v1,0.949
T1249v1TS040_3,TS040,3,v1,0.665
T1249v1TS023_1,TS023,1,v1,0.1387
T1249v1TS147_4,TS147,4,v1,0.9454
T1249v1TS110_4,TS110,4,v1,0.9417
T1249v1TS393_4,TS393,4,v1,0.9369
T1249v1TS167_4,TS167,4,v1,0.9306
T1249v1TS022_4,TS022,4,v1,0.9357
T1249v1TS219_4,TS219,4,v1,0.9507
T1249v1TS164_3,TS164,3,v1,0.9384
T1249v1TS425_4,TS425,4,v1,0.9387
T1249v1TS075_4,TS075,4,v1,0.9404
T1249v1TS019_5,TS019,5,v1,0.9388
T1249v1TS221_2,TS221,2,v1,0.8272
T1249v1TS015_1,TS015,1,v1,0.569
T1249v1TS465_5,TS465,5,v1,0.518
T1249v1TS274_4,TS274,4,v1,0.9398
T1249v1TS331_4,TS331,4,v1,0.9387
T1249v1TS489_2,TS489,2,v1,0.5195
T1249v1TS262_4,TS262,4,v1,0.8165
T1249v1TS148_3,TS148,3,v1,0.9404
T1249v1TS023_5,TS023,5,v1,0.1387
T1249v1TS059_4,TS059,4,v1,0.9427
T1249v1TS261_3,TS261,3,v1,0.9419
T1249v1TS456_3,TS456,3,v1,0.9379
T1249v1TS028_5,TS028,5,v1,0.9394
T1249v1TS423_1,TS423,1,v1,0.9479
T1249v1TS052_4,TS052,4,v1,0.9357
T1249v1TS301_5,TS301,5,v1,0.9399
T1249v1TS139_2,TS139,2,v1,0.2605
T1249v1TS117_4,TS117,4,v1,0.4738
T1249v1TS114_3,TS114,3,v1,0.1786
T1249v1TS269_4,TS269,4,v1,0.9408
T1249v1TS051_3,TS051,3,v1,0.9376
T1249v1TS494_2,TS494,2,v1,0.9314
T1249v1TS290_4,TS290,4,v1,0.9285
T1249v1TS314_2,TS314,2,v1,0.9321
T1249v1TS462_1,TS462,1,v1,0.9501
T1249v1TS198_1,TS198,1,v1,0.9438
T1249v1TS293_3,TS293,3,v1,0.9433
T1249v1TS085_2,TS085,2,v1,0.5264
T1249v1TS120_1,TS120,1,v1,0.4607
T1249v1TS337_1,TS337,1,v1,0.1786
T1249v1TS272_1,TS272,1,v1,0.9427
T1249v1TS196_3,TS196,3,v1,0.5375
T1249v1TS204_4,TS204,4,v1,0.9289
T1249v1TS380_2,TS380,2,v1,0.9404
T1249v1TS419_1,TS419,1,v1,0.8632
T1249v1TS376_1,TS376,1,v1,0.94
T1249v1TS212_4,TS212,4,v1,0.9436
T1249v1TS091_4,TS091,4,v1,0.9426
T1249v1TS287_5,TS287,5,v1,0.9346
T1249v1TS284_2,TS284,2,v1,0.9395
T1249v1TS300_4,TS300,4,v1,0.1674
T1249v1TS264_1,TS264,1,v1,0.9398
T1249v1TS008_1,TS008,1,v1,0.9416
T1249v1TS028_1,TS028,1,v1,0.9501
T1249v1TS301_1,TS301,1,v1,0.9336
T1249v1TS423_5,TS423,5,v1,0.9475
T1249v1TS031_2,TS031,2,v1,0.9088
T1249v1TS120_5,TS120,5,v1,0.398
T1249v1TS198_5,TS198,5,v1,0.9386
T1249v1TS462_5,TS462,5,v1,0.9394
T1249v1TS419_5,TS419,5,v1,0.8028
T1249v1TS122_3,TS122,3,v1,0.9395
T1249v1TS337_5,TS337,5,v1,0.1715
T1249v1TS319_3,TS319,3,v1,0.9347
T1249v1TS264_5,TS264,5,v1,0.9473
T1249v1TS008_5,TS008,5,v1,0.9434
T1249v1TS375_2,TS375,2,v1,0.9343
T1249v1TS163_3,TS163,3,v1,0.9474
T1249v1TS475_4,TS475,4,v1,0.9404
T1249v1TS287_1,TS287,1,v1,0.9336
T1249v1TS322_2,TS322,2,v1,0.9316
T1249v1TS267_2,TS267,2,v1,0.9314
T1249v1TS286_1,TS286,1,v1,0.8632
T1249v1TS051_6,TS051,6,v1,0.9377
T1249v1TS269_1,TS269,1,v1,0.9406
T1249v1TS117_1,TS117,1,v1,0.4996
T1249v1TS423_4,TS423,4,v1,0.9482
T1249v1TS052_1,TS052,1,v1,0.9445
T1249v1TS031_3,TS031,3,v1,0.7396
T1249v1TS120_4,TS120,4,v1,0.4174
T1249v1TS290_1,TS290,1,v1,0.94
T1249v1TS462_4,TS462,4,v1,0.9454
T1249v1TS198_4,TS198,4,v1,0.9445
T1249v1TS204_1,TS204,1,v1,0.9346
T1249v1TS419_4,TS419,4,v1,0.8053
T1249v1TS122_2,TS122,2,v1,0.9395
T1249v1TS319_2,TS319,2,v1,0.936
T1249v1TS337_4,TS337,4,v1,0.1714
T1249v1TS208_5,TS208,5,v1,0.9441
T1249v1TS264_4,TS264,4,v1,0.942
T1249v1TS300_1,TS300,1,v1,0.1854
T1249v1TS375_3,TS375,3,v1,0.9445
T1249v1TS008_4,TS008,4,v1,0.9466
T1249v1TS163_2,TS163,2,v1,0.9479
T1249v1TS212_1,TS212,1,v1,0.943
T1249v1TS475_5,TS475,5,v1,0.9395
T1249v1TS322_3,TS322,3,v1,0.9391
T1249v1TS267_3,TS267,3,v1,0.9451
T1249v1TS091_1,TS091,1,v1,0.9515
T1249v1TS028_4,TS028,4,v1,0.9349
T1249v1TS456_2,TS456,2,v1,0.9568
T1249v1TS301_4,TS301,4,v1,0.9428
T1249v1TS052_5,TS052,5,v1,0.9354
T1249v1TS117_5,TS117,5,v1,0.4763
T1249v1TS139_3,TS139,3,v1,0.5241
T1249v1TS269_5,TS269,5,v1,0.9395
T1249v1TS114_2,TS114,2,v1,0.1663
T1249v1TS051_2,TS051,2,v1,0.946
T1249v1TS494_3,TS494,3,v1,0.9395
T1249v1TS290_5,TS290,5,v1,0.9408
T1249v1TS314_3,TS314,3,v1,0.9402
T1249v1TS361_1,TS361,1,v1,0.3987
T1249v1TS293_2,TS293,2,v1,0.9605
T1249v1TS085_3,TS085,3,v1,0.5267
T1249v1TS196_2,TS196,2,v1,0.52
T1249v1TS204_5,TS204,5,v1,0.9443
T1249v1TS380_3,TS380,3,v1,0.9454
T1249v1TS475_1,TS475,1,v1,0.9436
T1249v1TS212_5,TS212,5,v1,0.9428
T1249v1TS091_5,TS091,5,v1,0.9276
T1249v1TS287_4,TS287,4,v1,0.9381
T1249v1TS284_3,TS284,3,v1,0.9403
T1249v1TS300_5,TS300,5,v1,0.1603
T1249v1TS494_4,TS494,4,v1,0.9488
T1249v1TS114_5,TS114,5,v1,0.1957
T1249v1TS269_2,TS269,2,v1,0.9408
T1249v1TS286_2,TS286,2,v1,0.8272
T1249v1TS323_1,TS323,1,v1,0.5223
T1249v1TS051_5,TS051,5,v1,0.9387
T1249v1TS052_2,TS052,2,v1,0.9346
T1249v1TS301_3,TS301,3,v1,0.9426
T1249v1TS139_4,TS139,4,v1,0.2544
T1249v1TS117_2,TS117,2,v1,0.5677
T1249v1TS456_5,TS456,5,v1,0.935
T1249v1TS028_3,TS028,3,v1,0.9328
T1249v1TS293_5,TS293,5,v1,0.9453
T1249v1TS085_4,TS085,4,v1,0.5264
T1249v1TS290_2,TS290,2,v1,0.9413
T1249v1TS314_4,TS314,4,v1,0.9382
T1249v1TS122_1,TS122,1,v1,0.9403
T1249v1TS196_5,TS196,5,v1,0.5254
T1249v1TS204_2,TS204,2,v1,0.9464
T1249v1TS380_4,TS380,4,v1,0.945
T1249v1TS319_1,TS319,1,v1,0.9271
T1249v1TS163_1,TS163,1,v1,0.9471
T1249v1TS284_4,TS284,4,v1,0.9404
T1249v1TS300_2,TS300,2,v1,0.1761
T1249v1TS091_2,TS091,2,v1,0.95
T1249v1TS287_3,TS287,3,v1,0.939
T1249v1TS212_2,TS212,2,v1,0.9434
T1249v1TS423_3,TS423,3,v1,0.9491
T1249v1TS456_1,TS456,1,v1,0.9441
T1249v1TS397_1,TS397,1,v1,0.9584
T1249v1TS051_1,TS051,1,v1,0.936
T1249v1TS114_1,TS114,1,v1,0.1854
T1249v1TS361_2,TS361,2,v1,0.4556
T1249v1TS198_3,TS198,3,v1,0.9439
T1249v1TS462_3,TS462,3,v1,0.9398
T1249v1TS120_3,TS120,3,v1,0.445
T1249v1TS293_1,TS293,1,v1,0.9543
T1249v1TS031_4,TS031,4,v1,0.5478
T1249v1TS272_3,TS272,3,v1,0.9442
T1249v1TS337_3,TS337,3,v1,0.1709
T1249v1TS319_5,TS319,5,v1,0.9382
T1249v1TS419_3,TS419,3,v1,0.8323
T1249v1TS122_5,TS122,5,v1,0.9404
T1249v1TS196_1,TS196,1,v1,0.6858
T1249v1TS322_4,TS322,4,v1,0.9507
T1249v1TS267_4,TS267,4,v1,0.9401
T1249v1TS475_2,TS475,2,v1,0.9395
T1249v1TS008_3,TS008,3,v1,0.9428
T1249v1TS375_4,TS375,4,v1,0.9406
T1249v1TS163_5,TS163,5,v1,0.9478
T1249v1TS264_3,TS264,3,v1,0.9528
T1249v1TS139_1,TS139,1,v1,0.519
T1249v1TS423_2,TS423,2,v1,0.951
T1249v1TS494_1,TS494,1,v1,0.9285
T1249v1TS462_2,TS462,2,v1,0.943
T1249v1TS198_2,TS198,2,v1,0.942
T1249v1TS361_3,TS361,3,v1,0.4989
T1249v1TS314_1,TS314,1,v1,0.9419
T1249v1TS085_1,TS085,1,v1,0.5265
T1249v1TS031_5,TS031,5,v1,0.9446
T1249v1TS272_2,TS272,2,v1,0.9485
T1249v1TS319_4,TS319,4,v1,0.9387
T1249v1TS337_2,TS337,2,v1,0.1631
T1249v1TS419_2,TS419,2,v1,0.8272
T1249v1TS122_4,TS122,4,v1,0.9436
T1249v1TS380_1,TS380,1,v1,0.9458
T1249v1TS267_5,TS267,5,v1,0.9309
T1249v1TS475_3,TS475,3,v1,0.9403
T1249v1TS375_5,TS375,5,v1,0.9426
T1249v1TS008_2,TS008,2,v1,0.9269
T1249v1TS163_4,TS163,4,v1,0.9482
T1249v1TS264_2,TS264,2,v1,0.9353
T1249v1TS284_1,TS284,1,v1,0.9436
T1249v1TS494_5,TS494,5,v1,0.9314
T1249v1TS269_3,TS269,3,v1,0.9387
T1249v1TS114_4,TS114,4,v1,0.1904
T1249v1TS051_4,TS051,4,v1,0.935
T1249v1TS286_3,TS286,3,v1,0.8323
T1249v1TS301_2,TS301,2,v1,0.9443
T1249v1TS052_3,TS052,3,v1,0.9388
T1249v1TS117_3,TS117,3,v1,0.4946
T1249v1TS139_5,TS139,5,v1,0.5308
T1249v1TS028_2,TS028,2,v1,0.9493
T1249v1TS456_4,TS456,4,v1,0.9357
T1249v1TS293_4,TS293,4,v1,0.9482
T1249v1TS085_5,TS085,5,v1,0.527
T1249v1TS120_6,TS120,6,v1,0.4827
T1249v1TS031_1,TS031,1,v1,0.5762
T1249v1TS462_6,TS462,6,v1,0.9494
T1249v1TS290_3,TS290,3,v1,0.9358
T1249v1TS314_5,TS314,5,v1,0.937
T1249v1TS196_4,TS196,4,v1,0.5291
T1249v1TS204_3,TS204,3,v1,0.9395
T1249v1TS380_5,TS380,5,v1,0.9474
T1249v1TS375_1,TS375,1,v1,0.9393
T1249v1TS284_5,TS284,5,v1,0.9395
T1249v1TS300_3,TS300,3,v1,0.1663
T1249v1TS264_6,TS264,6,v1,0.9365
T1249v1TS091_3,TS091,3,v1,0.9482
T1249v1TS267_1,TS267,1,v1,0.9379
T1249v1TS287_2,TS287,2,v1,0.9333
T1249v1TS322_1,TS322,1,v1,0.9383
T1249v1TS212_3,TS212,3,v1,0.9429
T1249v1TS075_3,TS075,3,v1,0.9403
T1249v1TS425_3,TS425,3,v1,0.9347
T1249v1TS450_1,TS450,1,v1,0.939
T1249v1TS164_4,TS164,4,v1,0.9377
T1249v1TS145_1,TS145,1,v1,0.9454
T1249v1TS219_3,TS219,3,v1,0.9391
T1249v1TS167_3,TS167,3,v1,0.9276
T1249v1TS022_3,TS022,3,v1,0.9388
T1249v1TS112_1,TS112,1,v1,0.9473
T1249v1TS388_2,TS388,2,v1,0.5142
T1249v1TS015_6,TS015,6,v1,0.492
T1249v1TS019_2,TS019,2,v1,0.9426
T1249v1TS221_5,TS221,5,v1,0.8028
T1249v1TS489_5,TS489,5,v1,0.5731
T1249v1TS274_3,TS274,3,v1,0.9363
T1249v1TS331_3,TS331,3,v1,0.9347
T1249v1TS465_2,TS465,2,v1,0.5332
T1249v1TS059_3,TS059,3,v1,0.9417
T1249v1TS261_4,TS261,4,v1,0.9404
T1249v1TS148_4,TS148,4,v1,0.9407
T1249v1TS023_2,TS023,2,v1,0.1387
T1249v1TS262_3,TS262,3,v1,0.7631
T1249v1TS241_4,TS241,4,v1,0.9381
T1249v1TS112_5,TS112,5,v1,0.9458
T1249v1TS304_4,TS304,4,v1,0.9413
T1249v1TS079_3,TS079,3,v1,0.9433
T1249v1TS145_5,TS145,5,v1,0.9474
T1249v1TS450_5,TS450,5,v1,0.9608
T1249v1TS311_3,TS311,3,v1,0.9383
T1249v1TS221_1,TS221,1,v1,0.8632
T1249v1TS468_3,TS468,3,v1,0.9315
T1249v1TS345_4,TS345,4,v1,0.9353
T1249v1TS015_2,TS015,2,v1,0.9636
T1249v1TS312_4,TS312,4,v1,0.942
T1249v1TS040_4,TS040,4,v1,0.6528
T1249v1TS014_3,TS014,3,v1,0.9482
T1249v1TS369_4,TS369,4,v1,0.9345
T1249v1TS489_1,TS489,1,v1,0.6388
T1249v1TS017_4,TS017,4,v1,0.9454
T1249v1TS294_4,TS294,4,v1,0.947
T1249v1TS393_3,TS393,3,v1,0.9389
T1249v1TS110_3,TS110,3,v1,0.9501
T1249v1TS147_3,TS147,3,v1,0.9398
T1249v1TS112_4,TS112,4,v1,0.9474
T1249v1TS241_5,TS241,5,v1,0.9365
T1249v1TS079_2,TS079,2,v1,0.9605
T1249v1TS304_5,TS304,5,v1,0.943
T1249v1TS164_1,TS164,1,v1,0.9386
T1249v1TS145_4,TS145,4,v1,0.9458
T1249v1TS450_4,TS450,4,v1,0.9306
T1249v1TS311_2,TS311,2,v1,0.9536
T1249v1TS468_2,TS468,2,v1,0.9368
T1249v1TS345_5,TS345,5,v1,0.9413
T1249v1TS015_3,TS015,3,v1,0.9338
T1249v1TS312_5,TS312,5,v1,0.9473
T1249v1TS040_5,TS040,5,v1,0.6382
T1249v1TS369_5,TS369,5,v1,0.9386
T1249v1TS014_2,TS014,2,v1,0.9542
T1249v1TS017_5,TS017,5,v1,0.9404
T1249v1TS294_5,TS294,5,v1,0.9298
T1249v1TS393_2,TS393,2,v1,0.9463
T1249v1TS110_2,TS110,2,v1,0.9398
T1249v1TS261_1,TS261,1,v1,0.9428
T1249v1TS059_6,TS059,6,v1,0.9406
T1249v1TS147_2,TS147,2,v1,0.943
T1249v1TS148_1,TS148,1,v1,0.9449
T1249v1TS425_2,TS425,2,v1,0.9271
T1249v1TS075_2,TS075,2,v1,0.9395
T1249v1TS219_2,TS219,2,v1,0.9316
T1249v1TS164_5,TS164,5,v1,0.9386
T1249v1TS167_2,TS167,2,v1,0.9418
T1249v1TS022_2,TS022,2,v1,0.9332
T1249v1TS187_1,TS187,1,v1,0.943
T1249v1TS304_1,TS304,1,v1,0.9418
T1249v1TS241_1,TS241,1,v1,0.9446
T1249v1TS312_1,TS312,1,v1,0.9398
T1249v1TS345_1,TS345,1,v1,0.936
T1249v1TS019_3,TS019,3,v1,0.9407
T1249v1TS221_4,TS221,4,v1,0.8053
T1249v1TS017_1,TS017,1,v1,0.9458
T1249v1TS489_4,TS489,4,v1,0.5899
T1249v1TS274_2,TS274,2,v1,0.9393
T1249v1TS294_1,TS294,1,v1,0.9377
T1249v1TS331_2,TS331,2,v1,0.936
T1249v1TS040_1,TS040,1,v1,0.9319
T1249v1TS014_6,TS014,6,v1,0.9544
T1249v1TS369_1,TS369,1,v1,0.9396
T1249v1TS465_3,TS465,3,v1,0.5322
T1249v1TS059_2,TS059,2,v1,0.9321
T1249v1TS261_5,TS261,5,v1,0.9446
T1249v1TS148_5,TS148,5,v1,0.9386
T1249v1TS023_3,TS023,3,v1,0.1387
T1249v1TS393_6,TS393,6,v1,0.9404
T1249v1TS262_2,TS262,2,v1,0.8162
